Country,Year,Expenditure,EmploymentRate_Females,EmploymentRate_Males,Graduates,BachelorRate,MasterRate
Austria,2015,5908.966666666667,74.9,76.1,44.7,13.07999992370605,10.85999965667725
Austria,2017,6414.566666666667,78.7,77.8,45.1,14.25,11.39999961853027
Austria,2018,6780.166666666667,76.8,77.7,44.8,14.7956076913385,11.8494881098652
Austria,2019,5888.099999999999,76.9,76.9,46.1,15.35999965667725,12.06999969482422
Austria,2020,6929.566666666667,77.1,77.5,49.0,15.9696028307325,12.4190471258178
Austria,2021,7579.333333333333,77.6,80.1,50.3,16.6050948264829,12.7670327496034
Belgium,2013,6441.833333333333,68.8,69.0,68.1,30.25,12.38000011444092
Belgium,2014,6451.366666666666,72.8,69.6,69.7,31.26000022888184,13.48999977111816
Belgium,2015,6495.166666666667,71.7,70.9,70.3,31.70999908447266,13.53999996185303
Belgium,2016,6760.766666666666,70.3,67.1,72.0,32.16999816894531,13.65999984741211
Belgium,2017,6951.400000000001,70.7,67.9,71.2,34.68999862670898,14.92000007629395
Belgium,2018,7213.400000000001,71.4,72.4,71.4,35.2702828263553,15.2636289113605
Belgium,2019,7506.166666666667,72.9,72.8,69.9,35.29999923706055,15.61999988555908
Belgium,2020,7815.900000000001,71.7,71.4,77.5,36.6534836708611,16.2467980116384
Belgium,2021,7905.733333333334,73.4,72.5,78.5,38.5315386438649,17.1400520473828
Bulgaria,2013,919.5333333333333,68.9,73.5,54.3,22.92000007629395,0.0
Bulgaria,2014,1062.9666666666667,69.6,74.2,52.2,24.05999946594238,16.5687783111549
Bulgaria,2015,1045.8333333333333,73.7,80.3,51.7,24.46999931335449,17.3585078427176
Bulgaria,2016,1038.8,71.0,76.5,49.5,24.6299991607666,17.4846920955228
Bulgaria,2018,1216.7333333333333,70.1,83.6,46.3,25.1136192434754,18.0976005843862
Bulgaria,2019,1336.5333333333335,78.0,86.4,45.0,25.1552091366664,18.1594407615795
Bulgaria,2020,1394.3,80.3,80.3,41.3,26.04999923706055,18.8079476724475
Bulgaria,2021,1488.4666666666665,78.0,80.6,42.9,26.2697570350821,18.5600145339108
Croatia,2016,643.8666666666667,64.6,62.9,56.5,16.057180180608,13.0411263508032
Croatia,2017,682.7333333333332,64.0,62.8,57.8,16.9888918884246,13.7325820638713
Croatia,2018,736.4333333333334,59.9,65.3,60.0,18.0253557388432,14.4759515110106
Croatia,2019,746.0,64.0,68.0,61.4,18.0067338301199,14.1803512475944
Croatia,2020,617.85,64.6,75.0,61.4,18.913670628549,14.6661885877035
Croatia,2021,782.1666666666666,69.3,73.9,61.9,18.9514047878406,15.0708837299591
Cyprus,2014,290.96666666666664,67.7,68.3,39.7,25.96999931335449,9.5
Cyprus,2015,312.3666666666667,68.6,74.1,40.3,25.54999923706055,10.32999992370605
Cyprus,2016,322.03333333333336,70.8,73.3,43.5,26.6200008392334,10.63000011444092
Cyprus,2017,381.8666666666666,71.5,73.0,45.0,27.1771401334924,10.9449029016227
Cyprus,2018,361.40000000000003,74.3,74.4,43.1,28.55999946594238,12.21000003814697
Cyprus,2019,386.6333333333334,74.6,85.0,47.2,28.8715544418397,12.7003475870988
Cyprus,2020,367.9,79.2,79.2,44.7,29.79999923706055,13.43000030517578
Cyprus,2021,408.9666666666667,80.2,81.6,56.4,31.7849752031884,14.0482593223206
Czechia,2013,20384.366666666665,65.8,73.6,56.6,4.42498065938131,2.97165739321287
Czechia,2014,19796.100000000002,64.0,72.7,55.6,18.82999992370605,14.75
Czechia,2015,19871.500000000004,65.4,70.8,54.4,19.34000015258789,15.03999996185303
Czechia,2016,16997.533333333333,64.1,74.3,53.9,20.07999992370605,15.8100004196167
Czechia,2017,17907.766666666666,69.7,77.7,51.9,20.72999954223633,16.18000030517578
Czechia,2018,24058.399999999998,70.9,78.1,50.9,21.0019190637801,16.2438162872532
Czechia,2019,25911.333333333332,66.6,75.5,49.3,20.90999984741211,16.0
Czechia,2020,34262.649999999994,61.9,76.3,49.6,21.3851673811778,16.3814150439169
Czechia,2021,26522.300000000003,64.5,77.6,50.4,22.8479955978814,17.7132244892854
Denmark,2013,13534.333333333334,76.8,77.6,74.2,0.678235472115144,0.0
Denmark,2014,13789.5,75.6,76.9,76.6,28.97999954223633,10.10000038146973
Denmark,2016,17838.666666666668,75.8,77.2,90.1,30.97999954223633,11.5
Denmark,2017,16769.499999999996,77.1,78.0,84.5,29.7281119169291,11.0141964204832
Denmark,2018,17168.533333333333,77.4,79.5,82.7,32.36000061035156,12.72999954223633
Denmark,2019,17521.9,79.5,79.0,83.6,31.1208860786063,12.3840711107072
Denmark,2020,26088.600000000002,78.3,78.3,82.7,33.09000015258789,13.47999954223633
Denmark,2021,28237.233333333337,81.6,80.0,86.8,32.45201906024,13.1783195295386
Estonia,2014,402.43333333333334,74.1,80.7,43.0,29.1377522911322,20.7745123013216
Estonia,2015,409.2,77.7,87.8,45.0,29.7758218878281,21.0461250902035
Finland,2015,3412.633333333333,76.6,83.0,54.4,23.03000068664551,11.27999973297119
Finland,2016,3671.5333333333333,78.1,83.4,53.9,25.4359483800168,12.4071801154385
Finland,2017,3596.0333333333333,81.1,84.4,53.6,24.34000015258789,11.90999984741211
Finland,2018,3646.2999999999997,82.1,86.6,54.7,27.8136771931862,13.7064403004017
