Country,Year,Expenditure
Austria,2015,6019.3
Austria,2017,6626.7
Austria,2018,7003.9
Austria,2019,6089.0
Austria,2020,7231.7
Austria,2021,7884.7
Belgium,2012,6274.1
Belgium,2013,6638.6
Belgium,2014,6625.8
Belgium,2015,6622.5
Belgium,2016,6958.0
Belgium,2017,7186.2
Belgium,2018,7454.3
Belgium,2019,7750.0
Belgium,2020,8095.8
Belgium,2021,8197.2
Bulgaria,2012,508.1
Bulgaria,2013,545.4
Bulgaria,2014,622.9
Bulgaria,2015,613.6
Bulgaria,2016,616.3
Bulgaria,2018,739.3
Bulgaria,2019,821.0
Bulgaria,2020,869.4
Bulgaria,2021,940.0
Switzerland,2013,6396.7
Cyprus,2012,281.7
Cyprus,2013,290.1
Cyprus,2014,283.0
Cyprus,2015,299.1
Cyprus,2016,308.8
Cyprus,2017,365.7
Cyprus,2018,345.8
Cyprus,2019,370.9
Cyprus,2020,367.9
Cyprus,2021,395.3
Czechia,2012,2374.6
Czechia,2013,2149.9
Czechia,2014,1972.1
Czechia,2015,1996.4
Czechia,2016,1724.5
Czechia,2017,1864.9
Czechia,2018,2570.4
Czechia,2019,2768.5
Czechia,2020,2495.9
Czechia,2021,2843.1
Germany,2012,35685.4
Germany,2013,36648.5
Germany,2014,38306.2
Germany,2015,39404.1
Germany,2016,40541.7
Germany,2017,41985.1
Germany,2018,44026.1
Germany,2019,46883.6
Germany,2020,48297.5
Germany,2021,50448.8
Denmark,2013,4413.6
Denmark,2014,4495.8
Denmark,2016,5819.1
Denmark,2017,5470.7
Denmark,2018,5589.2
Denmark,2019,5695.3
Denmark,2020,8505.0
Denmark,2021,9218.3
Estonia,2012,285.4
Estonia,2014,355.2
Estonia,2015,361.0
Greece,2012,1864.9
Greece,2013,1670.2
Greece,2014,1708.1
Greece,2015,1876.4
Greece,2017,1555.4
Greece,2018,1661.3
Greece,2019,1809.9
Spain,2012,13978.6
Spain,2013,13654.4
Spain,2014,13578.2
Spain,2015,14046.6
Spain,2016,14108.1
Spain,2017,14775.1
Spain,2018,16162.9
Spain,2019,16913.0
Spain,2020,17318.7
Spain,2021,18506.5
Finland,2015,3617.0
Finland,2016,3921.0
Finland,2017,3844.0
Finland,2018,3891.1
Finland,2019,3962.8
Finland,2020,4140.2
Finland,2021,4264.4
France,2012,31514.2
France,2013,32496.8
France,2014,33121.5
France,2015,33537.4
Croatia,2016,537.8
Croatia,2017,576.5
Croatia,2018,625.1
Croatia,2019,632.8
Croatia,2020,617.7
Croatia,2021,661.8
Hungary,2012,1273.1
Hungary,2013,1302.5
Hungary,2014,1029.6
Hungary,2015,1006.4
Hungary,2017,1392.0
Hungary,2018,1480.8
Hungary,2019,1346.6
Ireland,2012,2405.6
Ireland,2014,2154.0
Ireland,2016,2750.2
Ireland,2017,2809.8
Ireland,2018,2954.4
Ireland,2019,3061.8
Ireland,2020,3097.3
Ireland,2021,2911.7
Iceland,2012,148.9
Iceland,2013,150.9
Iceland,2014,166.5
Iceland,2018,290.5
Iceland,2019,306.5
Iceland,2020,290.7
Iceland,2021,330.5
Italy,2012,17404.1
Italy,2013,17715.1
Italy,2014,17741.8
Italy,2015,15546.3
Italy,2016,15387.0
Italy,2017,15901.0
Italy,2018,16329.3
Italy,2019,16550.0
Italy,2020,17110.7
Italy,2021,18155.1
Lithuania,2012,586.7
Lithuania,2013,593.6
Lithuania,2014,612.8
Lithuania,2015,567.8
Lithuania,2016,433.8
Lithuania,2017,442.8
Lithuania,2018,496.3
Lithuania,2019,533.3
Lithuania,2020,621.7
Lithuania,2021,629.6
Luxembourg,2012,184.8
Luxembourg,2014,250.8
Luxembourg,2015,274.6
Luxembourg,2016,269.5
Luxembourg,2017,277.0
Luxembourg,2018,256.2
Luxembourg,2019,288.4
Luxembourg,2020,306.7
Luxembourg,2021,340.5
Latvia,2012,488.4
Latvia,2013,354.2
Latvia,2014,362.4
Latvia,2015,397.4
Latvia,2016,291.6
Latvia,2017,313.0
Latvia,2018,377.8
Latvia,2019,441.0
Latvia,2020,446.0
Latvia,2021,457.8
Malta,2012,110.6
Malta,2013,127.3
